Time,Altitude,Speed,Acceleration,Pressure,State,Lat,Lon
0.00,0.00,0.00,0.00,101325,СТАРТ,55.7558,37.6173
0.02,0.50,5.00,12.50,101265,ПОЛЁТ,55.7559,37.6174
0.04,1.20,12.00,25.00,101180,ПОЛЁТ,55.7560,37.6175
0.06,2.50,18.50,30.00,101025,ПОЛЁТ,55.7561,37.6176
0.08,4.30,22.00,15.00,100810,ПОЛЁТ,55.7562,37.6177
0.10,6.50,24.00,5.00,100550,ПОЛЁТ,55.7563,37.6178
0.12,9.00,25.00,-2.00,100250,ПОЛЁТ,55.7564,37.6179
0.14,12.20,23.50,-4.50,99870,ПОЛЁТ,55.7565,37.6180
0.16,16.00,21.00,-6.00,99420,ПОЛЁТ,55.7566,37.6181
0.18,20.10,18.00,-8.00,98940,ПОЛЁТ,55.7567,37.6182
0.20,24.50,15.20,-9.81,98420,ПОЛЁТ,55.7568,37.6183
0.22,28.80,12.50,-9.81,97910,ПОЛЁТ,55.7569,37.6184
0.24,32.60,10.10,-9.81,97460,ПОЛЁТ,55.7570,37.6185
0.26,36.00,7.80,-9.81,97070,ПОЛЁТ,55.7571,37.6186
0.28,39.10,5.50,-9.81,96710,ПОЛЁТ,55.7572,37.6187
0.30,41.80,3.60,-9.81,96400,ПОЛЁТ,55.7573,37.6188
0.32,44.00,2.10,-9.81,96150,ПОЛЁТ,55.7574,37.6189
0.34,45.80,1.00,-9.81,95940,ПОЛЁТ,55.7575,37.6190
0.36,47.20,0.30,-9.81,95780,ПОЛЁТ,55.7576,37.6191
0.38,48.50,0.05,-9.81,95630,ПОЛЁТ,55.7577,37.6192
0.40,49.80,0.00,0.00,95490,АПОГЕЙ_ДРОГ_ЧУТ,55.7578,37.6193
0.42,49.50,-1.20,2.10,95520,ДРОГ_ЧУТ РАСКРЫТ,55.7579,37.6194
0.44,48.80,-2.50,4.50,95600,СПУСК_ДРОГ,55.7580,37.6195
0.46,47.60,-4.00,1.20,95740,СПУСК_ДРОГ,55.7581,37.6196
0.48,46.10,-5.20,-0.50,95910,СПУСК_ДРОГ,55.7582,37.6197
0.50,44.40,-5.50,-0.10,96100,СПУСК_ДРОГ,55.7583,37.6198
0.52,42.70,-5.60,0.00,96290,СПУСК_ДРОГ,55.7584,37.6199
0.54,41.00,-5.60,0.00,96480,СПУСК_ДРОГ,55.7585,37.6200
0.56,39.30,-5.60,0.00,96670,СПУСК_ДРОГ,55.7586,37.6201
0.58,37.60,-5.60,0.00,96860,СПУСК_ДРОГ,55.7587,37.6202
0.60,35.90,-5.60,0.00,97060,СПУСК_ДРОГ,55.7588,37.6203
0.62,34.20,-5.60,0.00,97250,СПУСК_ДРОГ,55.7589,37.6204
0.64,32.50,-5.60,0.00,97440,СПУСК_ДРОГ,55.7590,37.6205
0.66,30.80,-5.60,0.00,97630,СПУСК_ДРОГ,55.7591,37.6206
0.68,29.10,-5.60,0.00,97830,СПУСК_ДРОГ,55.7592,37.6207
0.70,27.40,-5.60,0.00,98020,СПУСК_ДРОГ,55.7593,37.6208
0.72,25.70,-5.60,0.00,98210,СПУСК_ДРОГ,55.7594,37.6209
0.74,24.00,-4.10,15.20,98400,ОСН. ПАРАШЮТ_ПОСАДОЧНЫЕ_ОПОРЫ,55.7595,37.6210
0.76,22.80,-2.50,10.40,98540,СПУСК_ОСНОВНОЙ,55.7596,37.6211
0.78,21.90,-1.80,4.20,98640,СПУСК_ОСНОВНОЙ,55.7597,37.6212
0.80,21.10,-1.50,0.50,98730,СПУСК_ОСНОВНОЙ,55.7598,37.6213
0.82,20.40,-1.45,0.05,98810,СПУСК_ОСНОВНОЙ,55.7599,37.6214
0.84,19.70,-1.45,0.00,98890,СПУСК_ОСНОВНОЙ,55.7600,37.6215
0.86,19.00,-1.45,0.00,98970,СПУСК_ОСНОВНОЙ,55.7601,37.6216
0.88,18.30,-1.45,0.00,99050,СПУСК_ОСНОВНОЙ,55.7602,37.6217
0.90,17.60,-1.45,0.00,99130,СПУСК_ОСНОВНОЙ,55.7603,37.6218
0.92,16.90,-1.45,0.00,99210,СПУСК_ОСНОВНОЙ,55.7604,37.6219
0.94,16.20,-1.45,0.00,99290,СПУСК_ОСНОВНОЙ,55.7605,37.6220
0.96,15.50,-1.45,0.00,99370,СПУСК_ОСНОВНОЙ,55.7606,37.6221
0.98,14.80,-1.45,0.00,99450,СПУСК_ОСНОВНОЙ,55.7607,37.6222
1.00,14.10,-1.45,0.00,99530,СПУСК_ОСНОВНОЙ,55.7608,37.6223
1.02,13.40,-1.45,0.00,99610,СПУСК_ОСНОВНОЙ,55.7609,37.6224
1.04,12.70,-1.45,0.00,99690,СПУСК_ОСНОВНОЙ,55.7610,37.6225
1.06,12.00,-1.45,0.00,99770,СПУСК_ОСНОВНОЙ,55.7611,37.6226
1.08,11.30,-1.45,0.00,99850,СПУСК_ОСНОВНОЙ,55.7612,37.6227
1.10,10.60,-1.45,0.00,99930,СПУСК_ОСНОВНОЙ,55.7613,37.6228
1.12,9.90,-1.45,0.00,100010,СПУСК_ОСНОВНОЙ,55.7614,37.6229
1.14,9.20,-1.45,0.00,100090,СПУСК_ОСНОВНОЙ,55.7615,37.6230
1.16,8.50,-1.45,0.00,100170,СПУСК_ОСНОВНОЙ,55.7616,37.6231
1.18,7.80,-1.45,0.00,100250,СПУСК_ОСНОВНОЙ,55.7617,37.6232
1.20,7.10,-1.45,0.00,100330,СПУСК_ОСНОВНОЙ,55.7618,37.6233
1.22,6.40,-1.45,0.00,100410,СПУСК_ОСНОВНОЙ,55.7619,37.6234
1.24,5.70,-1.45,0.00,100490,СПУСК_ОСНОВНОЙ,55.7620,37.6235
1.26,5.00,-1.45,0.00,100570,СПУСК_ОСНОВНОЙ,55.7621,37.6236
1.28,4.30,-1.45,0.00,100650,СПУСК_ОСНОВНОЙ,55.7622,37.6237
1.30,3.60,-1.45,0.00,100730,СПУСК_ОСНОВНОЙ,55.7623,37.6238
1.32,2.90,-1.45,0.00,100810,СПУСК_ОСНОВНОЙ,55.7624,37.6239
1.34,2.20,-1.45,0.00,100890,СПУСК_ОСНОВНОЙ,55.7625,37.6240
1.36,1.50,-1.45,0.00,100970,СПУСК_ОСНОВНОЙ,55.7626,37.6241
1.38,0.80,-1.45,0.00,101050,СПУСК_ОСНОВНОЙ,55.7627,37.6242
1.40,0.10,-1.45,0.00,101130,ПОСАДКА,55.7628,37.6243
1.42,0.00,0.00,-15.50,101325,МИССИЯ ЗАВЕРШЕНА,55.7629,37.6244
